Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
C'est quoi Enercoop ?	Enercoop est le seul fournisseur d'électricité 100% renouvelable et coopérative à s'approvisionner directement auprès de producteurs d'énergies renouvelables : hydraulique, éolien, photovoltaïque et biogaz.\n\nAu-delà, Enercoop est une Société Coopérative d'Intérêt Collectif (SCIC), dont plus de la moitié des bénéfices sont statutairement réinvestis dans l'objet de la structure, à savoir les énergies renouvelables et les économies d'énergie.\n\nEn choisissant Enercoop, vous soutenez concrètement le développement des énergies renouvelables et participez à un nouveau projet d'appropriation citoyenne et locale du secteur de l'énergie.	Ener_excel.xlsx		[]	false	[]	1
Comment puis-je être sûr de recevoir uniquement de l'électricité verte ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
D'où provient l'électricité ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
D'où vient l'électricité ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
Enercoop est-il écolo ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
Enercoop est-il écologique ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
Qui sont les producteurs d'énergie d'Enercoop ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
Est-ce qu'Enercoop peut garantir la provenance de l'électricité ?\n\n	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
L'électricité fournie par Enercoop est elle 100% renouvelable ?	Il n'y a pas de traçabilité physique de l'électricité une fois injectée dans le réseau commun de transport et de distribution.\n\nEnercoop s'engage à injecter sur le réseau de distribution autant d'électricité d'origine renouvelable que ses clients en consomment. La traçabilité est financière : vous avez la garantie que votre argent va aux énergies renouvelables, en rémunérant les producteurs de la coopérative via votre facture d'électricité.\n\nEn plus de s'approvisionner auprès de producteurs d'énergie renouvelable, Enercoop recourt au dispositif des garanties d'origine, géré par un organisme indépendant, lui permettant de démontrer que l'électricité qu'il fournit est bien d'origine renouvelable. Grâce aux contrats établis en direct avec les producteurs, ces garanties d'origine sont directement liées à l'énergie achetée par Enercoop.	Ener_excel.xlsx		[]	false	[]	2
Pourquoi l'offre d'Enercoop est-elle un peu plus chère que celle des autres fournisseurs ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Pourquoi Enercoop est plus cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Enercoop est-il plus cher que les autres fournisseurs ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Enercoop est-il plus cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Est-ce qu'Enercoop est plus cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Est-ce qu'Enercoop est cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Est-ce qu'Enercoop coûte cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Pourquoi Enercoop coûte si cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Pourquoi est-ce qu'Enercoop coûte si cher ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Les prix d'Enercoop sont-ils les mêmes que ceux des autres fournisseurs ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Les prix d'Enercoop sont-ils les mêmes que ceux d'EDF ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Pourquoi Enercoop est plus cher qu'EDF ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Pourquoi est-ce qu'Enercoop est plus cher qu'EDF ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Pourquoi l'offre d'Enercoop est-elle plus chère que celle d'EDF ?	Le prix d'Enercoop repose sur la réalité de son coût d'approvisionnement et non sur des opportunités commerciales.\n\nEnercoop répercute ses coûts d'achat d'énergie sur la facture finale dans une démarche transparente de viabilité du modèle à long terme.\n\nLe modèle économique d'Enercoop ne pourrait pas être viable si ses tarifs étaient adossés à ceux que pratiquent actuellement les autres fournisseurs. \n\nLes énergies renouvelables, elles, deviennent de plus en plus compétitives. L'hydroélectricité est depuis longtemps l'électricité la moins chère du marché tandis que l'éolien et le photovoltaïque au sol présentent aujourd'hui des coûts similaires à ceux des énergies fossiles, et inférieurs à ceux du nucléaire.\n\nEnfin, les tarifs actuels (hors Enercoop) n'intègrent pas, ou de façon très insuffisante, des coûts environnementaux et sociaux liés à l'utilisation des énergies fossiles et de l'énergie nucléaire : dérèglements climatiques, pollution, gestion des déchets radioactifs, catastrophes nucléaires… Coûts que nos sociétés doivent et vont devoir au final assumer.	Ener_excel.xlsx		[]	false	[]	3
Comment souscrire un contrat chez Enercoop ?	C'est très simple ! Rendez-vous sur https://souscription.enercoop.fr/ et laissez-vous guider !	Ener_excel.xlsx		[]	false	[]	4
Comment passer chez Enercoop ?	C'est très simple ! Rendez-vous sur https://souscription.enercoop.fr/ et laissez-vous guider !	Ener_excel.xlsx		[]	false	[]	4
Comment signer un contrat chez Enercoop ?	C'est très simple ! Rendez-vous sur https://souscription.enercoop.fr/ et laissez-vous guider !	Ener_excel.xlsx		[]	false	[]	4
j'aimerai bien m'inscrire chez vous, je fais comment ?	C'est très simple ! Rendez-vous sur https://souscription.enercoop.fr/ et laissez-vous guider !	Ener_excel.xlsx		[]	false	[]	4
Comment s'abonner chez Enercoop ?	C'est très simple ! Rendez-vous sur https://souscription.enercoop.fr/ et laissez-vous guider !	Ener_excel.xlsx		[]	false	[]	4
